I re-audited the latest `main` commit, **`e94f241253e6de1ff1c8f65acb7ec862836ff249` (`r engine bugs`)**, against the completion criteria from the previous prompt.

The previous work closed most of the architectural gaps: multi-input identity is now propagated to Python, engine resolution is centralized, R worker liveness is per-worker, comparison orchestration is event-driven, DFM comparisons understand incomplete previews, R artifacts are copied out of temporary work directories, the R worker has cgroup limits, and the frontend distinguishes `not_ready` from `unavailable`.

It is **not yet complete**, primarily because current HEAD still has two failing mandatory CI gates, plus several deeper production/research gaps.

| #  | Priority                       | Remaining gap                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Recommended solution                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | Main files involved                                                                                                                                                                                                                                                |                                                                                                                                   |
| -- | ------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------------------------------------------- |
| 1  | **P0**                         | **Backend Ruff gate is still red**. CI pins Ruff `0.11.2`, while the backend dev dependency is only `ruff>=0.11.2`, and the lock currently resolves a much newer Ruff. The current job reports `UP038` violations in `artifact_store.py`, `classifiers.py`, `drift_monitoring.py`, `split_planner.py`, and `stage_cache.py`. This creates both actual lint failures and tool-version skew.                                                                                             | Fix the reported constructs rather than suppressing them. Then establish **one Ruff version source**: preferably let CI use `backend/.venv/bin/ruff` after `uv sync --frozen --extra dev`, or pin exactly the same Ruff version in `pyproject.toml`/lock and CI.                                                                                                                                                                                                                                                       | `.github/workflows/ci.yml`; `backend/pyproject.toml`; `backend/uv.lock`; `infrastructure/artifact_store.py`; `classifiers.py`; `drift_monitoring.py`; `split_planner.py`; `stage_cache.py`                                                                         |                                                                                                                                   |
| 2  | **P0**                         | **Playwright is still red, but the previous Redis-loop failure appears fixed.** The new trace repeatedly hangs at `getByRole("tab", { name: "Corpus" }).click()`. The current research UI has evolved: `CorpusView` has internal tabs such as **Corpus management**, **Prepare corpus**, and **Documents**, while top-level research navigation is driven by the research workflow/layout.                                                                                             | Update the E2E test to navigate through the **actual current accessible navigation element** instead of the stale `role=tab` selector. Inspect `ResearchLayout` and use its real role—likely link/button—or navigate to the canonical route and assert the URL. Add a finite `expect(...).toBeVisible({timeout: ...})` before clicks so failures identify the missing control rather than consuming the global 120 s timeout. Apply the same check to `Classify` and `Export`. Do **not** increase the global timeout. | `frontend/e2e/research-flow.spec.ts`; possibly `frontend/e2e/helpers/research-api.ts`; reference `frontend/src/features/text-research/views/ResearchLayout.tsx`; `frontend/src/features/text-research/workflow.ts`; `frontend/src/features/text-research/types.ts` |                                                                                                                                   |
| 3  | **P0 release verification**    | **Production R-worker quality gate has not completed yet.** At the time of this audit, the current run is still building the production image; R version/package smoke, Celery import, heartbeat, `testthat`, and Python↔R parity have therefore not yet been proven for this commit. The workflow itself is correctly designed around the production image.                                                                                                                           | Do not mark the implementation complete until this workflow reaches green. If the build remains excessively long, optimize the Docker/renv layer rather than weakening the gate.                                                                                                                                                                                                                                                                                                                                       | `.github/workflows/quanteda-parity.yml`; `r_engine/Dockerfile`; `r_engine/renv.lock`                                                                                                                                                                               |                                                                                                                                   |
| 4  | **P1**                         | **Artifact bytes are more durable now, but artifact metadata is still process-local.** `artifact_registry.py` remains an in-process registry. `ArtifactStore` can copy R output to durable storage, but resolving an artifact still depends on registry state in the current Python process. A second API replica or API restart can therefore lose the metadata required to locate the blob.                                                                                          | Persist artifact metadata in PostgreSQL. I would use `ResearchArtifact` for immutable blob identity and `AnalysisRunArtifact` for run→artifact lineage. Store checksum, backend, object key, MIME, size, format and immutable dimensions on the artifact; store `run_id`, role/logical name and artifact ID on the association. Make the DB/repository—not a module dictionary—the authoritative catalog.                                                                                                              | `domain/models.py`; `infrastructure/repositories.py`; `artifact_registry.py`; `artifact_store.py`; `r_runtime/artifacts.py`; new Alembic migration; `api/schemas.py`; `api/routes.py`; `test_artifact_store.py`; `test_r_durable_artifacts.py`                     |                                                                                                                                   |
| 5  | **P1**                         | **There is still no complete user-facing durable artifact retrieval contract.** The R worker may persist the artifact, but the API does not yet expose a first-class run-artifact listing/download flow. Also, `load_bytes()` materializes an entire artifact in memory, which is undesirable for large sparse DFM Parquet files.                                                                                                                                                      | Add authenticated endpoints such as `GET /runs/{run_id}/artifacts` and `GET /runs/{run_id}/artifacts/{artifact_id}`. Implement streaming file responses or object-store presigned URLs. Keep `load_bytes()` only for bounded small artifacts.                                                                                                                                                                                                                                                                          | `artifact_store.py`; `repositories.py`; `api/routes.py`; `api/schemas.py`; frontend `src/api/textResearch.ts`; optionally a run/artifact UI component                                                                                                              |                                                                                                                                   |
| 6  | **P1**                         | **Object-store failure can degrade to local storage silently.** This is dangerous in a distributed deployment: the R worker can report success while the artifact exists only on that worker's filesystem. Compose mounts a research-artifacts volume into `worker-r`, but that does not by itself establish a durable cross-replica artifact contract.                                                                                                                                | Introduce an explicit storage policy, e.g. `RESEARCH_ARTIFACT_STORAGE_MODE=object                                                                                                                                                                                                                                                                                                                                                                                                                                      | shared_local`. In `object`mode, an upload failure must fail/retry artifact persistence rather than silently downgrade. In`shared_local`, startup should verify that API and relevant workers share the configured path.                                            | `backend/core/config.py`; `artifact_store.py`; existing object-storage service; `infra/docker-compose.yml`; deployment docs/tests |
| 7  | **P1 functional scope**        | **R still does not provide the same analysis portfolio as Python.** Current R support is only frequencies, count DFM, word KWIC, dictionary, keyness and co-occurrence. Topic models and other analyses explicitly remain Python-only.                                                                                                                                                                                                                                                 | Expand incrementally with a parity contract per method. A sensible order is **n-grams → readability/similarity/clustering → topic models → classification → statistical/measurement models**. Do not advertise a method in `supported_analyses` until its schema adapter and parity/contract tests exist.                                                                                                                                                                                                              | `engines/r_engine.py`; `r_engine/R/dispatcher.R`; new R analysis modules; `r_engine/R/schemas.R`; parity tests; `testthat`; capability/API/frontend files                                                                                                          |                                                                                                                                   |
| 8  | **P1 scientific/API design**   | **Capabilities are analysis-level, not parameter-level.** The frontend receives `analyses: string[]`, although the current R variants support only subsets of Python options. For example the documented R DFM is count-weighted and R KWIC is word-query.                                                                                                                                                                                                                             | Replace the flat capability list—or supplement it—with machine-readable method capabilities. Example: `dfm.weighting=["count"]`, `dfm.trim=false`, `kwic.query_mode=["word"]`, `preprocessing_modes=["standardized"]`. Use this **same descriptor** for backend validation and frontend control disabling so scientific restrictions are not duplicated in UI conditionals.                                                                                                                                            | `plugin_registry.py`; `r_runtime/capabilities.py`; `api/routes.py`; `api/schemas.py`; `quantitative_analysis_service.py`; `frontend/src/api/textResearch.ts`; `analysisEngine.ts`; `AnalysisView.tsx`                                                              |                                                                                                                                   |
| 9  | **P1**                         | **`native` preprocessing exists in the specification vocabulary although R native preprocessing is not implemented.** The R engine ultimately rejects anything other than `standardized`.                                                                                                                                                                                                                                                                                              | Short term: reject `runtime="r" + preprocessing_mode="native"` during spec/API validation with a 422 **before a run is queued**. Long term, implement genuine quanteda-native preprocessing as a separate mode with its own pipeline checksum and R package/version provenance; standardized mode should remain the cross-language parity mode.                                                                                                                                                                        | `domain/analysis_specification.py`; `pipeline_compiler.py`; `engines/r_engine.py`; `r_runtime/serializer.py`; capabilities/API/frontend tests; later new R preprocessing module                                                                                    |                                                                                                                                   |
